Alerta_ID,Proyecto_ID,Componente,Tipo_Alerta,Fecha_Alerta,Downtime_Minutos,Minutos_Hasta_Resolucion,Asignado_A
ALT-00001,PRJ-009,Auth Service,WARNING_SPIKE,2026-04-03 16:25:00,0,167,EMP-031
ALT-00002,PRJ-005,API Gateway,WARNING_SPIKE,2026-02-11 10:53:00,0,139,EMP-005
ALT-00003,PRJ-002,API Gateway,INFO,2026-04-10 16:48:00,0,0,SYSTEM_AUTO
ALT-00004,PRJ-005,API Gateway,INFO,2026-02-22 21:57:00,0,0,SYSTEM_AUTO
ALT-00005,PRJ-009,Frontend UI,INFO,2026-04-10 01:45:00,0,0,SYSTEM_AUTO
ALT-00006,PRJ-004,API Gateway,INFO,2026-02-08 14:29:00,0,0,SYSTEM_AUTO
ALT-00007,PRJ-002,Auth Service,WARNING_SPIKE,2026-01-25 08:22:00,0,76,EMP-019
ALT-00008,PRJ-008,API Gateway,INFO,2026-03-19 06:30:00,0,0,SYSTEM_AUTO
ALT-00009,PRJ-006,Frontend UI,INFO,2026-01-19 21:46:00,0,0,SYSTEM_AUTO
ALT-00010,PRJ-003,Auth Service,INFO,2026-01-13 03:24:00,0,0,SYSTEM_AUTO
ALT-00011,PRJ-001,Load Balancer,WARNING_SPIKE,2026-01-25 17:42:00,0,25,EMP-042
ALT-00012,PRJ-001,Database,INFO,2026-01-30 12:37:00,0,0,SYSTEM_AUTO
ALT-00013,PRJ-008,Auth Service,WARNING_SPIKE,2026-04-03 13:49:00,0,95,EMP-020
ALT-00014,PRJ-007,Load Balancer,INFO,2026-03-21 17:43:00,0,0,SYSTEM_AUTO
ALT-00015,PRJ-007,Auth Service,INFO,2026-04-05 05:35:00,0,0,SYSTEM_AUTO
ALT-00016,PRJ-008,Database,INFO,2026-04-10 16:36:00,0,0,SYSTEM_AUTO
ALT-00017,PRJ-009,Database,INFO,2026-04-06 11:48:00,0,0,SYSTEM_AUTO
ALT-00018,PRJ-010,Load Balancer,INFO,2026-01-01 12:52:00,0,0,SYSTEM_AUTO
ALT-00019,PRJ-005,Database,INFO,2026-03-02 22:02:00,0,0,SYSTEM_AUTO
ALT-00020,PRJ-006,API Gateway,INFO,2026-02-03 17:48:00,0,0,SYSTEM_AUTO
ALT-00021,PRJ-001,Auth Service,INFO,2026-04-26 20:05:00,0,0,SYSTEM_AUTO
ALT-00022,PRJ-005,Load Balancer,INFO,2026-02-10 20:56:00,0,0,SYSTEM_AUTO
ALT-00023,PRJ-004,Database,INFO,2026-01-17 14:19:00,0,0,SYSTEM_AUTO
ALT-00024,PRJ-004,API Gateway,CRITICAL_DOWN,2026-04-02 07:13:00,37,43,EMP-044
ALT-00025,PRJ-006,Frontend UI,INFO,2026-01-03 23:05:00,0,0,SYSTEM_AUTO
ALT-00026,PRJ-008,Auth Service,CRITICAL_DOWN,2026-01-03 03:23:00,9,38,EMP-005
ALT-00027,PRJ-010,Frontend UI,INFO,2026-01-28 22:37:00,0,0,SYSTEM_AUTO
ALT-00028,PRJ-007,Load Balancer,WARNING_SPIKE,2026-03-26 04:05:00,0,152,EMP-044
ALT-00029,PRJ-010,API Gateway,INFO,2026-01-16 17:58:00,0,0,SYSTEM_AUTO
ALT-00030,PRJ-003,Database,INFO,2026-03-08 18:32:00,0,0,SYSTEM_AUTO
ALT-00031,PRJ-008,Frontend UI,WARNING_SPIKE,2026-04-11 04:59:00,0,48,EMP-015
ALT-00032,PRJ-007,API Gateway,CRITICAL_DOWN,2026-03-29 15:30:00,26,53,EMP-021
ALT-00033,PRJ-008,Frontend UI,WARNING_SPIKE,2026-03-22 17:55:00,0,136,EMP-032
ALT-00034,PRJ-006,Database,CRITICAL_DOWN,2026-03-24 01:29:00,93,104,EMP-037
ALT-00035,PRJ-001,Frontend UI,INFO,2026-04-12 01:42:00,0,0,SYSTEM_AUTO
ALT-00036,PRJ-008,Auth Service,INFO,2026-01-28 06:17:00,0,0,SYSTEM_AUTO
ALT-00037,PRJ-009,Load Balancer,INFO,2026-01-30 01:18:00,0,0,SYSTEM_AUTO
ALT-00038,PRJ-010,Auth Service,WARNING_SPIKE,2026-02-22 15:25:00,0,173,EMP-034
ALT-00039,PRJ-001,Database,WARNING_SPIKE,2026-01-07 12:48:00,0,24,EMP-025
ALT-00040,PRJ-001,Load Balancer,INFO,2026-01-10 20:52:00,0,0,SYSTEM_AUTO
ALT-00041,PRJ-006,Database,INFO,2026-01-11 00:04:00,0,0,SYSTEM_AUTO
ALT-00042,PRJ-002,Frontend UI,INFO,2026-03-18 22:42:00,0,0,SYSTEM_AUTO
ALT-00043,PRJ-006,API Gateway,WARNING_SPIKE,2026-04-15 22:49:00,0,60,EMP-030
ALT-00044,PRJ-007,Database,INFO,2026-01-30 08:37:00,0,0,SYSTEM_AUTO
ALT-00045,PRJ-010,Database,WARNING_SPIKE,2026-02-26 22:51:00,0,129,EMP-032
ALT-00046,PRJ-001,Auth Service,INFO,2026-01-08 21:53:00,0,0,SYSTEM_AUTO
ALT-00047,PRJ-003,Auth Service,WARNING_SPIKE,2026-04-24 12:30:00,0,19,EMP-037
ALT-00048,PRJ-005,Frontend UI,INFO,2026-04-01 16:31:00,0,0,SYSTEM_AUTO
ALT-00049,PRJ-005,Load Balancer,CRITICAL_DOWN,2026-02-23 10:00:00,34,51,EMP-037
ALT-00050,PRJ-002,Auth Service,WARNING_SPIKE,2026-02-26 09:55:00,0,105,EMP-025
ALT-00051,PRJ-002,Database,WARNING_SPIKE,2026-04-08 21:23:00,0,154,EMP-025
ALT-00052,PRJ-005,Auth Service,WARNING_SPIKE,2026-02-22 23:54:00,0,67,EMP-030
ALT-00053,PRJ-008,Database,INFO,2026-03-22 08:58:00,0,0,SYSTEM_AUTO
ALT-00054,PRJ-006,Frontend UI,INFO,2026-02-09 11:42:00,0,0,SYSTEM_AUTO
ALT-00055,PRJ-004,Load Balancer,INFO,2026-01-06 15:17:00,0,0,SYSTEM_AUTO
ALT-00056,PRJ-001,Auth Service,WARNING_SPIKE,2026-01-01 17:28:00,0,106,EMP-013
ALT-00057,PRJ-005,Load Balancer,INFO,2026-04-08 20:23:00,0,0,SYSTEM_AUTO
ALT-00058,PRJ-001,Frontend UI,INFO,2026-02-15 22:31:00,0,0,SYSTEM_AUTO
ALT-00059,PRJ-008,Frontend UI,INFO,2026-01-20 00:56:00,0,0,SYSTEM_AUTO
ALT-00060,PRJ-002,Frontend UI,INFO,2026-03-10 06:23:00,0,0,SYSTEM_AUTO
ALT-00061,PRJ-010,Auth Service,INFO,2026-01-07 11:25:00,0,0,SYSTEM_AUTO
ALT-00062,PRJ-009,Database,INFO,2026-03-04 14:54:00,0,0,SYSTEM_AUTO
ALT-00063,PRJ-009,Load Balancer,WARNING_SPIKE,2026-03-30 17:52:00,0,178,EMP-042
ALT-00064,PRJ-005,Load Balancer,INFO,2026-03-24 15:53:00,0,0,SYSTEM_AUTO
ALT-00065,PRJ-005,Frontend UI,INFO,2026-04-05 01:14:00,0,0,SYSTEM_AUTO
ALT-00066,PRJ-003,Auth Service,INFO,2026-03-31 03:11:00,0,0,SYSTEM_AUTO
ALT-00067,PRJ-009,Load Balancer,CRITICAL_DOWN,2026-04-29 23:08:00,29,55,EMP-034
ALT-00068,PRJ-009,Frontend UI,INFO,2026-01-07 15:46:00,0,0,SYSTEM_AUTO
ALT-00069,PRJ-007,Frontend UI,WARNING_SPIKE,2026-02-01 13:05:00,0,32,EMP-044
ALT-00070,PRJ-008,Frontend UI,INFO,2026-03-03 16:51:00,0,0,SYSTEM_AUTO
ALT-00071,PRJ-005,Load Balancer,INFO,2026-01-31 15:56:00,0,0,SYSTEM_AUTO
ALT-00072,PRJ-005,Database,WARNING_SPIKE,2026-02-10 20:09:00,0,46,EMP-001
