Bug_ID,Proyecto_ID,Reporter_ID,Developer_ID,Entorno,Severidad,Fecha_Creacion,Tiempo_Resolucion_Minutos,Horas_Retrabajo
BUG-0001,PRJ-006,EMP-026,EMP-046,UAT,HIGH,2026-02-26 12:00:00,605,10.62
BUG-0002,PRJ-006,EMP-016,EMP-046,UAT,MEDIUM,2026-02-16 16:00:00,2621,31.85
BUG-0003,PRJ-001,EMP-048,EMP-028,QA,LOW,2026-03-18 12:00:00,1256,23.16
BUG-0004,PRJ-007,EMP-039,EMP-046,QA,LOW,2026-03-06 08:00:00,2696,40.21
BUG-0005,PRJ-004,EMP-039,EMP-050,UAT,HIGH,2026-02-04 16:00:00,595,7.33
BUG-0006,PRJ-010,EMP-004,EMP-046,QA,LOW,2026-01-08 11:00:00,1747,18.83
BUG-0007,PRJ-008,EMP-027,EMP-047,UAT,MEDIUM,2026-03-26 13:00:00,1525,29.26
BUG-0008,PRJ-006,EMP-016,EMP-023,UAT,HIGH,2026-01-28 15:00:00,658,7.92
BUG-0009,PRJ-009,EMP-016,EMP-047,UAT,MEDIUM,2026-02-22 12:00:00,844,9.27
BUG-0010,PRJ-002,EMP-041,EMP-046,QA,CRITICAL,2026-04-13 13:00:00,124,2.03
BUG-0011,PRJ-004,EMP-041,EMP-006,QA,MEDIUM,2026-03-13 17:00:00,820,7.55
BUG-0012,PRJ-006,EMP-008,EMP-003,QA,MEDIUM,2026-03-20 15:00:00,1579,23.55
BUG-0013,PRJ-009,EMP-024,EMP-023,PRODUCTION,HIGH,2026-03-10 16:00:00,684,9.36
BUG-0014,PRJ-008,EMP-049,EMP-046,UAT,MEDIUM,2026-02-09 10:00:00,1151,19.05
BUG-0015,PRJ-010,EMP-026,EMP-023,UAT,MEDIUM,2026-04-16 08:00:00,1287,21.81
BUG-0016,PRJ-010,EMP-016,EMP-023,QA,HIGH,2026-01-22 10:00:00,287,4.84
BUG-0017,PRJ-002,EMP-008,EMP-006,QA,CRITICAL,2026-01-12 08:00:00,84,1.37
BUG-0018,PRJ-003,EMP-049,EMP-003,QA,LOW,2026-02-11 14:00:00,1905,22.06
BUG-0019,PRJ-004,EMP-014,EMP-050,QA,MEDIUM,2026-01-09 11:00:00,1680,22.03
